customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Paul Van Hugh,5,89,2876,3,4,2,342
Pauline Chand,2,882,1062,4,4,4,444
Pauline Johnson,7,134,1824,3,2,3,323
Pauline Webber,10,46,3455,2,1,2,212
Penelope Sewall,7,236,6843,4,2,1,421
Pete Armstrong,6,103,730,3,3,4,334
Pete Kriz,12,9,8647,1,1,1,111
Pete Takahito,4,71,160,2,4,4,244
Peter BŸhler,4,57,689,2,4,4,244
Peter Fuller,4,835,9063,4,4,1,441
Peter McVee,4,51,4115,2,4,1,241
Philip Brown,8,97,1456,3,2,3,323
Philip Fox,6,196,2770,4,3,2,432
Philisse Overcash,9,160,4893,3,1,1,311
Phillina Ober,5,86,1056,3,4,4,344
Phillip Breyer,2,688,133,4,4,4,444
Phillip Flathmann,5,114,2207,3,4,3,343
Pierre Wener,7,464,3922,4,2,1,421
Quincy Jones,9,25,6109,1,1,1,111
Rachel Payne,4,496,954,4,4,4,444
Ralph Arnett,9,5,2618,1,1,2,112
Ralph Kennedy,3,119,1460,3,4,3,343
Ralph Ritter,2,19,616,1,4,4,144
Randy Bradley,2,68,1008,2,4,4,244
Randy Ferguson,8,390,3310,4,2,2,422
Raymond Buch,6,96,15117,3,3,1,331
Raymond Messe,6,345,1453,4,3,3,433
Resi Pšlking,12,33,5154,2,1,1,211
Ricardo Emerson,1,1098,48,4,4,4,444
Ricardo Sperren,5,76,3221,3,4,2,342
Richard Bierner,8,19,2664,1,2,2,122
Richard Eichhorn,5,302,877,4,4,4,444
Rick Bensley,12,9,4716,1,1,1,111
Rick Duston,8,72,4272,2,2,1,221
Rick Hansen,5,32,3622,2,4,2,242
Rick Huthwaite,6,467,6978,4,3,1,431
Rick Reed,6,170,3301,3,3,2,332
Rick Wilson,7,120,7398,3,2,1,321
Ritsa Hightower,2,519,740,4,4,4,444
Rob Beeghly,5,25,529,1,4,4,144
Rob Dowd,10,180,2914,3,1,2,312
Rob Haberlin,3,534,2086,4,4,3,443
Rob Lucas,8,121,6236,3,2,1,321
Rob Williams,9,89,3279,3,1,2,312
Robert Barroso,5,648,222,4,4,4,444
Robert Dilbeck,5,114,2787,3,4,2,342
Robert Marley,5,6,5979,1,4,1,141
Robert Waldorf,5,79,3496,3,4,2,342
Roger Barcio,4,54,2068,2,4,3,243
Roger Demir,10,21,1420,1,1,3,113
Roland Fjeld,7,89,2342,3,2,2,322
Roland Murray,1,299,98,4,4,4,444
Roland Schwarz,8,36,4160,2,2,1,221
Rose O'Brian,7,35,3816,2,2,1,221
Ross Baird,8,32,5633,2,2,1,221
Ross DeVincentis,8,14,1136,1,2,4,124
Roy Collins,6,369,967,4,3,4,434
Roy Franzšsisch,8,6,945,1,2,4,124
Roy Phan,8,28,2170,1,2,3,123
Roy Skaria,2,19,23,1,4,4,144
Ruben Ausman,7,43,3833,2,2,1,221
Ruben Dartt,9,114,3134,3,1,2,312
Russell Applegate,9,12,4793,1,1,1,111
Russell D'Ascenzo,4,42,971,2,4,4,244
Ryan Akin,5,61,1686,2,4,3,243
Ryan Crowe,6,110,887,3,3,4,334
Sally Hughsby,13,29,3408,1,1,2,112
Sally Knutson,3,8,884,1,4,4,144
Sally Matthias,4,421,244,4,4,4,444
Sam Craven,5,781,3364,4,4,2,442
Sam Zeldin,11,35,3627,2,1,2,212
Sample Company A,9,40,4625,2,1,1,211
Sandra Flanagan,7,59,764,2,2,4,224
Sandra Glassco,3,8,3406,1,4,2,142
Sanjit Chand,9,349,14143,4,1,1,411
Sanjit Engle,11,9,12210,1,1,1,111
Sanjit Jacobs,12,95,3949,3,1,1,311
Saphhira Shifley,8,15,1324,1,2,3,123
Sara Luxemburg,7,70,3053,2,2,2,222
Sarah Bern,3,201,1349,4,4,3,443
Sarah Brown,6,188,6412,4,3,1,431
Sarah Foster,9,59,3424,2,1,2,212
Sarah Jordon,6,29,1341,1,3,3,133
Scot Coram,4,149,4372,3,4,1,341
Scot Wooten,7,81,1085,3,2,4,324
Scott Cohen,8,187,3730,4,2,2,422
Scott Williamson,6,30,1966,1,3,3,133
Sean Braxton,7,47,8058,2,2,1,221
Sean Christensen,7,29,3980,1,2,1,121
Sean Miller,5,79,25042,3,4,1,341
Sean O'Donnell,6,29,2603,1,3,2,132
Sean Wendt,3,162,1019,3,4,4,344
Seth Vernon,10,101,11471,3,1,1,311
Shahid Collister,9,30,5993,1,1,1,111
Shahid Hopkins,10,23,2181,1,1,3,113
Shahid Shariari,6,110,3057,3,3,2,332
Sharelle Roach,5,8,3233,1,4,2,142
Shaun Chance,7,36,1875,2,2,3,223
Shaun Weien,7,162,2923,3,2,2,322
Sheri Gordon,8,183,1885,3,2,3,323
Shirley Daniels,9,200,6122,4,1,1,411
Shirley Jackson,5,253,1319,4,4,3,443
Shirley Schmidt,3,491,613,4,4,4,444
Shui Tom,7,125,432,3,2,4,324
Sibella Parks,6,327,1307,4,3,3,433
Skye Norling,6,111,1860,3,3,3,333
Sonia Cooley,5,92,902,3,4,4,344
Sonia Sunley,6,432,418,4,3,4,434
Speros Goranitis,6,108,3125,3,3,2,332
Stefania Perrino,9,47,5442,2,1,1,211
Stefanie Holloman,2,765,2096,4,4,3,443
Stephanie Phelps,9,386,1873,4,1,3,413
Stephanie Ulpright,7,20,2595,1,2,2,122
Steve Carroll,6,126,1255,3,3,3,333
Steve Chapman,10,89,2578,3,1,2,312
Steve Nguyen,7,79,3129,3,2,2,322
Steven Cartwright,11,187,5225,4,1,1,411
Steven Roelle,8,196,4346,4,2,1,421
Steven Ward,2,534,759,4,4,4,444
Stewart Carmichael,7,41,4493,2,2,1,221
Stewart Visinsky,9,320,4104,4,1,1,411
Stuart Calhoun,4,30,278,1,4,4,144
Stuart Van,4,76,1271,3,4,3,343
Sue Ann Reed,10,63,4766,2,1,1,211
Sung Chung,2,131,281,3,4,4,344
Sung Pak,10,79,4283,3,1,1,311
Sung Shariari,5,120,965,3,4,4,344
Susan Gilcrest,3,226,49,4,4,4,444
Susan MacKendrick,1,606,1043,4,4,4,444
Susan Pistek,6,70,3991,2,3,1,231
Susan Vittorini,8,2,1904,1,2,3,123
Suzanne McNair,12,25,5565,1,1,1,111
Sylvia Foulston,9,48,3336,2,1,2,212
Tamara Chand,5,399,19052,4,4,1,441
Tamara Dahlen,9,37,1435,2,1,3,213
Tamara Manning,8,103,2955,3,2,2,322
Tamara Willingham,7,64,5279,2,2,1,221
Tanja Norvell,7,90,3130,3,2,2,322
Ted Butterfield,5,119,1469,3,4,3,343
Ted Trevino,7,31,4915,2,2,1,221
Thais Sissman,2,357,5,4,4,4,444
Thea Hendricks,5,344,2424,4,4,2,442
Thea Hudgings,4,58,2943,2,4,2,242
Theone Pippenger,9,8,4455,1,1,1,111
Theresa Coyne,1,106,1038,3,4,4,344
Theresa Swint,6,504,2163,4,3,3,433
Thomas Boland,4,58,3589,2,4,2,242
Thomas Brumley,4,49,816,2,4,4,244
Thomas Seio,7,198,5372,4,2,1,421
Thomas Thornton,8,183,1428,3,2,3,323
Tiffany House,8,117,1021,3,2,4,324
Tim Brockman,7,349,1603,4,2,3,423
Tim Taslimi,3,406,439,4,4,4,444
Toby Braunhardt,6,583,2197,4,3,3,433
Toby Carlisle,8,27,4266,1,2,1,121
Toby Gnade,5,337,3059,4,4,2,442
Toby Ritter,5,193,676,4,4,4,444
Toby Swindell,5,226,976,4,4,4,444
Todd Boyes,5,146,834,3,4,4,344
Todd Sumrall,6,36,11892,2,3,1,231
Tom Ashbrook,4,69,14595,2,4,1,241
Tom Boeckenhauer,7,202,9133,4,2,1,421
Tom Prescott,5,104,5330,3,4,1,341
Tom Stivers,5,172,2054,3,4,3,343
Tonja Turnell,7,12,5365,1,2,1,121
Tony Chapman,9,153,1244,3,1,3,313
Tony Molinari,3,130,1095,3,4,4,344
Tony Sayre,6,11,2243,1,3,3,133
Tracy Blumstein,9,107,4737,3,1,1,311
Tracy Collins,7,4,743,1,2,4,124
Tracy Hopkins,7,72,4233,2,2,1,221
Tracy Poddar,4,350,1937,4,4,3,443
Tracy Zic,4,35,1707,2,4,3,243
Troy Blackwell,5,285,1387,4,4,3,443
Troy Staebel,7,55,2821,2,2,2,222
Trudy Brown,9,30,2798,1,1,2,112
Trudy Glocke,4,114,2075,3,4,3,343
Trudy Schmidt,5,238,3368,4,4,2,442
Valerie Dominguez,6,581,6442,4,3,1,431
Valerie Mitchum,7,54,2455,2,2,2,222
Valerie Takahito,2,1000,1736,4,4,3,443
Vicky Freymann,5,13,849,1,4,4,144
Victor Preis,3,30,994,1,4,4,144
Victoria Brennan,6,54,2006,2,3,3,233
Victoria Pisteka,7,75,3361,2,2,2,222
Victoria Wilson,10,28,6134,1,1,1,111
Vivek Gonzalez,6,154,846,3,3,4,334
Vivek Grady,5,286,427,4,4,4,444
Vivek Sundaresam,4,221,1055,4,4,4,444
Vivian Mathis,5,117,381,3,4,4,344
William Brown,11,20,6159,1,1,1,111
Xylona Preis,11,43,2375,2,1,2,212
Yana Sorensen,8,9,6721,1,2,1,121
Yoseph Carroll,5,4,5455,1,4,1,141
Zuschuss Carroll,13,54,8027,2,1,1,211
Zuschuss Donatelli,5,202,1494,4,4,3,443
