customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Dr. Essa Walker DVM,1,57,40,3,4,4,344
Dr. Estel Lehner IV,1,18,36,2,4,4,244
Dr. Estrella Williamson MD,1,38,66,2,4,3,243
Dr. Ethan Wolff,1,85,50,4,4,3,443
Dr. Ethelbert Beier,1,79,42,4,4,4,444
Dr. Ethelbert Pouros Jr.,1,19,38,2,4,4,244
Dr. Etter Romaguera PhD,1,18,75,2,4,2,242
Dr. Eudora Connelly PhD,2,14,118,2,2,1,221
Dr. Eunice Stoltenberg,2,48,103,3,2,2,322
Dr. Eva Russel DDS,1,90,61,4,4,3,443
Dr. Evelyne Streich,1,88,71,4,4,2,442
Dr. Ewin Beer DVM,1,50,49,3,4,3,343
Dr. Fabian Koch,1,12,45,1,4,3,143
Dr. Farrell Cummerata,1,12,70,1,4,2,142
Dr. Faustino Gleichner V,2,8,98,1,2,2,122
Dr. Felicie Conn,1,47,72,3,4,2,342
Dr. Felipa Rowe DDS,1,19,79,2,4,2,242
Dr. Felipe Effertz III,1,6,63,1,4,3,143
Dr. Fenton Conn,2,19,66,2,2,3,223
Dr. Fenton Stiedemann,1,20,73,2,4,2,242
Dr. Ferd Stroman,1,89,51,4,4,3,443
Dr. Fernand Block Jr.,2,9,121,1,2,1,121
Dr. Ferrell Ratke,2,11,105,1,2,2,122
Dr. Fidencio Effertz,1,6,74,1,4,2,142
Dr. Fidencio Osinski,1,43,65,3,4,3,343
Dr. Finnegan O'Hara,1,63,74,4,4,2,442
Dr. Firman Ryan Jr.,1,5,60,1,4,3,143
Dr. Fleda McGlynn,1,11,60,1,4,3,143
Dr. Fleming Grant IV,1,80,75,4,4,2,442
Dr. Flint Zboncak,1,67,25,4,4,4,444
Dr. Flora Lesch,1,74,41,4,4,4,444
Dr. Florencio Nienow DDS,1,12,22,1,4,4,144
Dr. Florida Towne DVM,1,31,62,2,4,3,243
Dr. Forrest Borer II,1,13,39,2,4,4,244
Dr. Foster Franecki Jr.,1,72,40,4,4,4,444
Dr. Frances Schmidt,1,78,20,4,4,4,444
Dr. Francisco Dach,2,3,91,1,2,2,122
Dr. Franco Kemmer II,2,12,57,1,2,3,123
Dr. Fredrick Klein,1,59,43,3,4,4,344
Dr. Fredy Nader,3,47,141,3,1,1,311
Dr. Fremont Bashirian,3,18,107,2,1,1,211
Dr. Fritz Hermann,1,51,43,3,4,4,344
Dr. Fronnie Kemmer,1,5,60,1,4,3,143
Dr. Fronnie Stark,1,20,49,2,4,3,243
Dr. Fuller Hansen,1,70,50,4,4,3,443
Dr. Fulton Sanford I,3,36,198,2,1,1,211
Dr. Gail Haley PhD,1,81,52,4,4,3,443
Dr. Gannon McCullough,1,73,63,4,4,3,443
Dr. Gannon Sipes III,4,22,214,2,1,1,211
Dr. Garner Cummings,2,32,134,2,2,1,221
Dr. Garner Kuphal,4,64,201,4,1,1,411
Dr. Garold Gottlieb,1,46,25,3,4,4,344
Dr. Gary O'Reilly I,3,12,143,1,1,1,111
Dr. Gasper King IV,1,47,29,3,4,4,344
Dr. Georganna Schneider,1,47,56,3,4,3,343
Dr. Geraldine Hermann MD,2,68,55,4,2,3,423
Dr. Geraldo Senger,2,82,79,4,2,2,422
Dr. Geralyn Witting DDS,1,36,73,2,4,2,242
Dr. Gerard Bauch,1,82,33,4,4,4,444
Dr. Gerard Heidenreich,2,12,136,1,2,1,121
Dr. Gerry McGlynn,2,89,76,4,2,2,422
Dr. Gilda Upton,1,88,38,4,4,4,444
Dr. Gilford Kreiger,2,56,112,3,2,1,321
Dr. Gilford Runte,1,6,20,1,4,4,144
Dr. Gilman Rice,2,79,100,4,2,2,422
Dr. Giuliana Johns,2,12,105,1,2,2,122
Dr. Glendora Schneider,1,48,51,3,4,3,343
Dr. Golden Kreiger,1,63,68,4,4,2,442
Dr. Grady Beier DDS,1,41,45,3,4,3,343
Dr. Grafton Wuckert,1,24,45,2,4,3,243
Dr. Grayce Kshlerin,1,68,61,4,4,3,443
Dr. Grayson Beer,1,17,59,2,4,3,243
Dr. Gregoria Beatty DVM,2,4,96,1,2,2,122
Dr. Griffith Collier II,1,16,49,2,4,3,243
Dr. Grover Russel,2,36,100,2,2,2,222
Dr. Gunnar Block,3,21,124,2,1,1,211
Dr. Gus Barrows,1,80,25,4,4,4,444
Dr. Gussie McLaughlin III,2,10,100,1,2,2,122
Dr. Gust Kiehn,2,11,140,1,2,1,121
Dr. Gusta Cartwright,1,73,79,4,4,2,442
Dr. Gustav Haag,1,8,29,1,4,4,144
Dr. Gustave Kemmer Sr.,1,90,36,4,4,4,444
Dr. Hadley Heller,4,3,248,1,1,1,111
Dr. Haiden Gleason,1,44,57,3,4,3,343
Dr. Hakeem Kub,1,5,80,1,4,2,142
Dr. Hal Wisoky Sr.,1,68,65,4,4,3,443
Dr. Halbert Wiza,1,4,79,1,4,2,142
Dr. Hall Streich DDS,2,46,100,3,2,2,322
Dr. Halley Bergstrom MD,1,41,41,3,4,4,344
Dr. Halley Johnston PhD,1,59,47,3,4,3,343
Dr. Hallie Kirlin IV,3,11,172,1,1,1,111
Dr. Hamilton Cummings PhD,5,39,267,3,1,1,311
Dr. Hansel Steuber,3,84,213,4,1,1,411
Dr. Harden McGlynn PhD,1,51,28,3,4,4,344
Dr. Harley Powlowski Jr.,1,75,74,4,4,2,442
Dr. Harlie Beahan DVM,3,4,141,1,1,1,111
Dr. Harlie Mann,1,56,47,3,4,3,343
Dr. Harm Bosco,1,78,80,4,4,2,442
Dr. Harmon Keebler II,5,26,238,2,1,1,211
Dr. Harmony Boyer,1,15,36,2,4,4,244
Dr. Harris Tremblay PhD,5,40,247,3,1,1,311
Dr. Harve Effertz,3,6,164,1,1,1,111
Dr. Hasan Grimes,1,46,56,3,4,3,343
Dr. Haskell Maggio,2,67,86,4,2,2,422
Dr. Hayley Wisoky DDS,1,87,79,4,4,2,442
Dr. Hazen Dach,1,29,69,2,4,2,242
Dr. Hedwig Stamm PhD,1,26,24,2,4,4,244
Dr. Helen Effertz DVM,1,74,58,4,4,3,443
Dr. Henderson Bechtelar DDS,1,12,23,1,4,4,144
Dr. Herlinda Smitham,1,12,33,1,4,4,144
Dr. Hermann Bogisich MD,1,74,58,4,4,3,443
Dr. Hermon Kiehn I,1,79,58,4,4,3,443
Dr. Hershel Koepp,1,47,76,3,4,2,342
Dr. Hervey Kihn I,1,85,73,4,4,2,442
Dr. Heyward Frami,1,79,51,4,4,3,443
Dr. Hilario Zboncak,3,46,119,3,1,1,311
Dr. Hildegard Murray,1,88,36,4,4,4,444
Dr. Hillard Bode,2,36,102,2,2,2,222
Dr. Hillary Reynolds Jr.,5,7,284,1,1,1,111
Dr. Hiram Gleichner DVM,1,11,62,1,4,3,143
Dr. Hjalmar Langworth II,1,88,59,4,4,3,443
Dr. Hoke Jacobs,2,5,110,1,2,1,121
Dr. Hollie Cremin,2,40,96,3,2,2,322
Dr. Holmes Moore DVM,1,88,80,4,4,2,442
Dr. Horace Jacobs PhD,1,6,77,1,4,2,142
Dr. Hosie Greenfelder DVM,4,12,190,1,1,1,111
Dr. Hosie Lockman II,1,10,33,1,4,4,144
Dr. Howard Zulauf V,3,1,105,1,1,2,112
Dr. Hubert Bechtelar III,1,86,36,4,4,4,444
Dr. Hughey Ziemann,1,88,76,4,4,2,442
Dr. Humphrey Bernhard PhD,3,39,162,3,1,1,311
Dr. Humphrey Grant,9,5,349,1,1,1,111
Dr. Hung Farrell,1,80,65,4,4,3,443
Dr. Hyman Wisoky,2,21,61,2,2,3,223
Dr. Idella Cole DDS,1,13,27,2,4,4,244
Dr. Illa Hessel,6,15,291,2,1,1,211
Dr. Infant Beer,1,47,28,3,4,4,344
Dr. Ingram Spinka,1,36,75,2,4,2,242
Dr. Iona Schinner PhD,1,40,80,3,4,2,342
Dr. Irvin Mueller,4,3,139,1,1,1,111
Dr. Irvine Torphy I,1,17,25,2,4,4,244
Dr. Irwin Boyle MD,1,84,48,4,4,3,443
Dr. Isaak Oberbrunner DVM,1,43,28,3,4,4,344
Dr. Isabelle Bauch,1,81,79,4,4,2,442
Dr. Isis Runolfsdottir MD,2,36,118,2,2,1,221
Dr. Isla Krajcik DVM,1,9,69,1,4,2,142
Dr. Ismael Stracke,1,41,45,3,4,3,343
Dr. Isom Boyle,4,12,138,1,1,1,111
Dr. Isreal Frami,5,5,294,1,1,1,111
Dr. Ivey Graham,2,48,104,3,2,2,322
Dr. Ivor Fadel,1,77,72,4,4,2,442
Dr. Izaiah Dach,1,89,58,4,4,3,443
Dr. Jack Feil IV,1,68,21,4,4,4,444
Dr. Jacoby Shields,3,28,189,2,1,1,211
Dr. Jacquelin Bartoletti DDS,1,8,43,1,4,4,144
Dr. Jacquez Leffler,1,47,67,3,4,3,343
Dr. Jaden Orn DVM,1,6,65,1,4,3,143
Dr. Jaheem Bernhard,1,46,24,3,4,4,344
Dr. Jaheem Pfannerstill III,1,84,80,4,4,2,442
Dr. Jaiden Abbott Sr.,1,6,58,1,4,3,143
Dr. Jamaal Fisher,2,15,112,2,2,1,221
Dr. Jamal Witting,1,70,29,4,4,4,444
Dr. Jamari Lubowitz II,1,42,47,3,4,3,343
Dr. Jamarion Osinski MD,1,76,77,4,4,2,442
Dr. Jame Runte IV,1,14,71,2,4,2,242
Dr. Jamel Hartmann,3,46,226,3,1,1,311
Dr. James Feest IV,2,21,136,2,2,1,221
Dr. Jan Treutel DVM,1,89,35,4,4,4,444
Dr. Jana Balistreri DVM,2,3,76,1,2,2,122
Dr. Jane Muller,4,12,226,1,1,1,111
Dr. Janelle Considine DDS,2,61,82,4,2,2,422
Dr. Janelle Gibson,1,30,55,2,4,3,243
Dr. Jann Stiedemann,1,53,50,3,4,3,343
Dr. Jarad Pollich II,9,11,468,1,1,1,111
Dr. Jaren Renner III,1,52,77,3,4,2,342
Dr. Jaren Schmeler,1,31,56,2,4,3,243
Dr. Jarett Kuphal,1,63,72,4,4,2,442
Dr. Jarett Waters DVM,2,12,135,1,2,1,121
Dr. Jarrell Nienow II,1,69,61,4,4,3,443
Dr. Jarrod Turcotte PhD,1,20,35,2,4,4,244
Dr. Jase Moen,3,3,123,1,1,1,111
Dr. Javier Hessel IV,2,15,116,2,2,1,221
Dr. Jaxen Veum,3,8,163,1,1,1,111
Dr. Jaxton Reichert II,4,21,239,2,1,1,211
Dr. Jayden Lakin Jr.,1,48,54,3,4,3,343
Dr. Jaydin Kreiger V,1,40,48,3,4,3,343
Dr. Jaylen Wehner,1,47,38,3,4,4,344
Dr. Jayson O'Keefe,1,73,45,4,4,3,443
Dr. Jean Kreiger,3,46,188,3,1,1,311
Dr. Jeanie Collins DDS,1,11,44,1,4,4,144
Dr. Jeannie Rutherford,1,32,55,2,4,3,243
Dr. Jedediah Hahn DDS,1,81,51,4,4,3,443
Dr. Jeff Bartoletti,1,73,25,4,4,4,444
Dr. Jeffie Johns,1,46,67,3,4,3,343
Dr. Jensen Moen,1,21,71,2,4,2,242
Dr. Jeramiah Ziemann,2,56,75,3,2,2,322
Dr. Jeramy Beatty,3,4,173,1,1,1,111
Dr. Jere Koelpin MD,2,45,91,3,2,2,322
Dr. Jerel Mitchell IV,1,84,29,4,4,4,444
Dr. Jerel Veum,1,49,54,3,4,3,343
Dr. Jerimy D'Amore,1,79,41,4,4,4,444
Dr. Jermain Kassulke I,1,7,32,1,4,4,144
Dr. Jermey Deckow,1,80,40,4,4,4,444
Dr. Jerod Berge Jr.,2,46,62,3,2,3,323
Dr. Jerrie Greenholt DDS,1,3,69,1,4,2,142
Dr. Jesse Schowalter,1,20,23,2,4,4,244
Dr. Jessie Barton,3,12,88,1,1,2,112
Dr. Jessie Hilpert,1,18,73,2,4,2,242
Dr. Jett Schaefer,1,40,24,3,4,4,344
Dr. Jiles Deckow II,2,11,89,1,2,2,122
Dr. Jillian Rau,24,12,1204,1,1,1,111
Dr. Jimmie Cummerata,1,47,30,3,4,4,344
Dr. Jimmie Lakin II,1,76,77,4,4,2,442
Dr. Joana Kassulke DVM,1,44,46,3,4,3,343
Dr. Joella Osinski,3,3,109,1,1,1,111
Dr. Joella Satterfield DDS,3,25,183,2,1,1,211
Dr. Johannah Batz,1,54,20,3,4,4,344
Dr. Johnathan DuBuque Jr.,1,66,50,4,4,3,443
Dr. Johny Maggio Jr.,1,19,40,2,4,4,244
Dr. Jolene Sipes,2,44,68,3,2,2,322
Dr. Jolette Huels,3,5,169,1,1,1,111
Dr. Jolette Mitchell,2,45,103,3,2,2,322
Dr. Jonah Wilderman DVM,1,67,28,4,4,4,444
Dr. Jonathon Nienow IV,1,47,64,3,4,3,343
Dr. Jonnie Toy DVM,1,15,37,2,4,4,244
Dr. Jordan Dickens,3,15,130,2,1,1,211
Dr. Jorge Feeney,9,6,455,1,1,1,111
Dr. Jorge Muller Jr.,3,6,184,1,1,1,111
Dr. Josefita Mann,1,16,40,2,4,4,244
Dr. Josiah Wyman,1,82,80,4,4,2,442
Dr. Jovani Prohaska,1,40,71,3,4,2,342
Dr. Joycelyn Funk PhD,1,78,52,4,4,3,443
Dr. Juelz Roob,1,45,54,3,4,3,343
Dr. Jule Cole,1,32,27,2,4,4,244
Dr. Juliana Jones MD,1,20,71,2,4,2,242
Dr. Junior Kub,9,3,433,1,1,1,111
Dr. Junious Wiza,3,34,164,2,1,1,211
Dr. Justice Hilpert IV,1,73,51,4,4,3,443
Dr. Justice Ratke,1,13,65,2,4,3,243
Dr. Justin Herman,2,46,62,3,2,3,323
Dr. Kade Shields,3,5,104,1,1,2,112
Dr. Kaeden Sipes,1,12,39,1,4,4,144
Dr. Kaia Hilll,4,5,258,1,1,1,111
Dr. Kailyn Kutch,1,19,32,2,4,4,244
Dr. Kaleb Becker,1,80,34,4,4,4,444
Dr. Kaleigh Schumm,1,8,69,1,4,2,142
Dr. Kalyn VonRueden,1,55,67,3,4,3,343
Dr. Kamari Stanton PhD,5,4,249,1,1,1,111
Dr. Kamden Boyer,2,18,112,2,2,1,221
Dr. Kamilah Sporer PhD,1,18,47,2,4,3,243
Dr. Kamron Okuneva,2,40,122,3,2,1,321
Dr. Kamryn Considine DVM,1,73,55,4,4,3,443
Dr. Kareem Hickle,1,76,60,4,4,3,443
Dr. Karina Rowe DDS,1,36,20,2,4,4,244
Dr. Karissa Kerluke,1,67,65,4,4,3,443
Dr. Karson Daugherty,1,5,29,1,4,4,144
Dr. Karson Reynolds,1,6,48,1,4,3,143
Dr. Kasen Conn,2,12,82,1,2,2,122
Dr. Kassie Bergnaum DDS,1,46,78,3,4,2,342
Dr. Katherin Schaefer,1,89,26,4,4,4,444
Dr. Kaydence Ortiz,1,25,60,2,4,3,243
Dr. Kayleigh Rohan,1,39,69,3,4,2,342
Dr. Keanna Leannon DVM,1,84,52,4,4,3,443
Dr. Kecia Windler,2,46,73,3,2,2,322
Dr. Keenen Parker,2,40,87,3,2,2,322
Dr. Keion Hermiston IV,1,47,22,3,4,4,344
Dr. Kelcie Yost MD,5,2,312,1,1,1,111
Dr. Kelli Donnelly PhD,1,3,62,1,4,3,143
Dr. Kelsea Hessel PhD,1,21,37,2,4,4,244
Dr. Kelsey Kshlerin MD,1,88,54,4,4,3,443
Dr. Kendal Stehr,1,62,70,4,4,2,442
Dr. Kendall Rogahn Sr.,1,47,75,3,4,2,342
Dr. Kendall Witting,2,15,107,2,2,1,221
Dr. Kendrick Ernser II,1,88,61,4,4,3,443
Dr. Kennard Schumm,3,11,163,1,1,1,111
Dr. Kenyon Deckow Jr.,1,60,40,4,4,4,444
Dr. Kermit Reichert,2,43,66,3,2,3,323
Dr. Kesha Jaskolski DDS,1,10,46,1,4,3,143
Dr. Kevin Reynolds,3,19,173,2,1,1,211
Dr. Kiefer Cummerata V,1,2,44,1,4,4,144
Dr. Kieth Franecki II,1,82,59,4,4,3,443
Dr. Kieth Wiegand,1,14,75,2,4,2,242
Dr. Killian Jacobson,3,6,158,1,1,1,111
Dr. Killian Waters IV,1,37,54,2,4,3,243
Dr. Kim Littel MD,1,77,67,4,4,3,443
Dr. Kim Lowe,1,86,50,4,4,3,443
Dr. Kimberlee Heaney PhD,1,12,48,1,4,3,143
Dr. Kip Bergstrom,1,89,76,4,4,2,442
Dr. Kirt Dach DVM,1,73,46,4,4,3,443
Dr. Kit Corwin I,1,66,68,4,4,2,442
Dr. Kit Reynolds,1,19,43,2,4,4,244
Dr. Kiyoshi Schiller,2,68,83,4,2,2,422
Dr. Kloe Parker DVM,1,22,37,2,4,4,244
Dr. Kobe Volkman,1,42,21,3,4,4,344
Dr. Kwame Parker,3,11,140,1,1,1,111
Dr. Kylan Padberg,1,82,22,4,4,4,444
Dr. Kyle Doyle II,1,42,79,3,4,2,342
Dr. Kylene Mayert,2,90,118,4,2,1,421
Dr. Kymani Gulgowski,2,45,71,3,2,2,322
Dr. Kyra Littel,5,4,214,1,1,1,111
Dr. Lacey Hills,3,1,111,1,1,1,111
Dr. Lacey Zieme,1,75,70,4,4,2,442
Dr. Ladarius Hilpert Sr.,1,74,73,4,4,2,442
Dr. Lafayette Gleason MD,1,84,22,4,4,4,444
Dr. Landan White,4,3,219,1,1,1,111
Dr. Larry Conroy DDS,1,58,26,3,4,4,344
Dr. Larry Reinger,1,60,29,4,4,4,444
Dr. Lashawn Kunde MD,3,47,109,3,1,1,311
Dr. Lassie Dibbert MD,3,43,153,3,1,1,311
Dr. Latrell Murazik,1,11,55,1,4,3,143
Dr. Laverne Aufderhar I,1,10,32,1,4,4,144
Dr. Lavinia Ortiz MD,1,32,56,2,4,3,243
Dr. Lavon Lehner,1,58,58,3,4,3,343
Dr. Lea Abbott PhD,4,14,170,2,1,1,211
Dr. Lea Denesik,1,19,29,2,4,4,244
Dr. Lea Homenick,3,1,128,1,1,1,111
Dr. Leatrice Leannon,1,54,49,3,4,3,343
Dr. Lennie Kutch MD,1,20,45,2,4,3,243
Dr. Lenore Beier,2,4,42,1,2,4,124
Dr. Leo Boyer,1,11,76,1,4,2,142
Dr. Leo Morar DVM,1,71,34,4,4,4,444
Dr. Leonardo Harber,3,50,162,3,1,1,311
Dr. Leonia Lind,1,83,53,4,4,3,443
Dr. Leonor Streich,1,1,46,1,4,3,143
Dr. Leontine Bartell,1,28,58,2,4,3,243
Dr. Les Orn,5,32,236,2,1,1,211
Dr. Leslie Sporer PhD,1,47,59,3,4,3,343
Dr. Lester Sawayn DVM,5,31,313,2,1,1,211
Dr. Letta Daniel MD,1,21,44,2,4,4,244
Dr. Levin Rolfson,1,81,59,4,4,3,443
Dr. Lewis Nicolas,1,7,63,1,4,3,143
Dr. Lewis Pacocha,1,3,39,1,4,4,144
Dr. Lex O'Kon III,1,73,70,4,4,2,442
Dr. Liddie Fisher DVM,2,11,106,1,2,2,122
Dr. Liddie Hackett,13,2,619,1,1,1,111
Dr. Lilburn Kuphal,1,12,67,1,4,3,143
Dr. Lilianna Bahringer PhD,1,71,68,4,4,2,442
Dr. Linn Schuppe,1,5,55,1,4,3,143
Dr. Linnea McLaughlin,1,32,38,2,4,4,244
Dr. Llewellyn Trantow DDS,2,10,125,1,2,1,121
Dr. Logan Kunze,2,66,53,4,2,3,423
Dr. Loma Mohr,2,64,76,4,2,2,422
Dr. Lon Heathcote II,2,13,90,2,2,2,222
Dr. London Leffler,1,47,58,3,4,3,343
Dr. Lorenz Aufderhar I,6,5,408,1,1,1,111
Dr. Lorenza Carroll MD,1,4,63,1,4,3,143
Dr. Lorenza Douglas,3,32,99,2,1,2,212
Dr. Loring Johns,1,56,21,3,4,4,344
Dr. Lovett Legros DDS,1,52,74,3,4,2,342
Dr. Lovie Beahan,1,39,71,3,4,2,342
Dr. Lovie Welch,1,81,49,4,4,3,443
Dr. Loy Rath,1,60,61,4,4,3,443
Dr. Luca Schuster,3,39,192,3,1,1,311
Dr. Lucas Goodwin,4,46,249,3,1,1,311
Dr. Lucia Lebsack,1,8,68,1,4,2,142
Dr. Lucien Blanda III,1,90,56,4,4,3,443
Dr. Lucille Stamm DVM,4,39,175,3,1,1,311
Dr. Lucious Beatty I,1,25,43,2,4,4,244
Dr. Lucious Langosh,1,42,27,3,4,4,344
Dr. Lucius Braun,5,6,216,1,1,1,111
Dr. Ludwig Cormier II,3,1,119,1,1,1,111
Dr. Lue Williamson DDS,2,44,59,3,2,3,323
Dr. Luella Mraz DDS,1,73,75,4,4,2,442
Dr. Luis Feil Sr.,1,52,75,3,4,2,342
Dr. Luka Heller II,1,88,50,4,4,3,443
Dr. Luka Schaefer V,1,26,35,2,4,4,244
Dr. Luka Stracke PhD,1,64,38,4,4,4,444
Dr. Lura Stokes DDS,1,87,54,4,4,3,443
Dr. Lyda Abshire,1,16,58,2,4,3,243
Dr. Lydia Kulas,2,3,142,1,2,1,121
Dr. Lynn Gleason Jr.,2,47,118,3,2,1,321
Dr. Lynn Streich MD,5,5,251,1,1,1,111
Dr. Lynwood Cassin I,1,20,73,2,4,2,242
Dr. Mace Moore,1,80,34,4,4,4,444
Dr. Maci Welch DDS,1,88,41,4,4,4,444
Dr. Maddux Kutch DVM,3,2,128,1,1,1,111
Dr. Madyson Marquardt DVM,4,32,205,2,1,1,211
Dr. Magan Pfeffer,2,81,78,4,2,2,422
Dr. Magan Schuster,1,22,34,2,4,4,244
Dr. Major Boehm II,5,3,246,1,1,1,111
Dr. Mal Hoeger,2,5,93,1,2,2,122
Dr. Malachi Reinger,1,34,50,2,4,3,243
Dr. Malcolm Crooks IV,1,18,70,2,4,2,242
Dr. Mallory Dooley MD,1,47,31,3,4,4,344
Dr. Mamie Bernhard II,3,35,149,2,1,1,211
Dr. Manda Keebler DVM,3,12,211,1,1,1,111
Dr. Manda Vandervort,1,47,46,3,4,3,343
Dr. Manford Denesik III,2,88,155,4,2,1,421
Dr. Marc Boyer I,1,18,75,2,4,2,242
Dr. Marcello Pfeffer Jr.,1,35,70,2,4,2,242
Dr. Marco Boyle,2,77,85,4,2,2,422
Dr. Marcy Murazik,1,68,25,4,4,4,444
Dr. Marge Johns,3,1,117,1,1,1,111
Dr. Margene Bernhard,1,6,69,1,4,2,142
Dr. Margie Yost,1,79,57,4,4,3,443
Dr. Margueritte Nader DVM,5,43,203,3,1,1,311
Dr. Mariano Tremblay Sr.,14,19,721,2,1,1,211
Dr. Marilynn Kovacek,1,19,58,2,4,3,243
Dr. Marisela Gutkowski MD,1,44,74,3,4,2,342
Dr. Mark Kutch MD,1,58,55,3,4,3,343
Dr. Mark Lakin,1,84,77,4,4,2,442
Dr. Markel Robel IV,1,52,29,3,4,4,344
Dr. Marlee Barton,2,14,121,2,2,1,221
Dr. Marleen Frami,1,11,34,1,4,4,144
Dr. Marlena Mertz DVM,1,18,30,2,4,4,244
Dr. Marquise Kassulke DDS,24,1,1134,1,1,1,111
Dr. Marquita Haley,1,48,31,3,4,4,344
Dr. Marrion Mohr,1,50,53,3,4,3,343
Dr. Marrion Williamson V,8,4,453,1,1,1,111
Dr. Marsha Rodriguez,1,16,64,2,4,3,243
Dr. Marybelle Bernier DDS,1,39,53,3,4,3,343
Dr. Matteo Little,1,85,62,4,4,3,443
Dr. Matthias Kautzer III,3,10,108,1,1,1,111
Dr. Maurice Fisher III,1,46,54,3,4,3,343
Dr. Maxie Lockman DDS,1,18,79,2,4,2,242
Dr. Maxim Jast,1,19,24,2,4,4,244
Dr. Maximillian Ziemann,1,74,22,4,4,4,444
Dr. Maximus Koepp,1,37,79,2,4,2,242
Dr. May Ernser V,1,47,78,3,4,2,342
Dr. May Frami,1,43,65,3,4,3,343
Dr. Mayra Murray PhD,1,12,70,1,4,2,142
Dr. Mazie Predovic MD,2,4,96,1,2,2,122
Dr. Mckenzie Cassin,3,80,128,4,1,1,411
Dr. Meaghan Skiles,1,49,77,3,4,2,342
Dr. Medora Steuber DVM,3,11,130,1,1,1,111
Dr. Meghan Spinka,1,46,58,3,4,3,343
Dr. Melbourne Abernathy,2,29,125,2,2,1,221
Dr. Mell Ferry IV,1,45,20,3,4,4,344
Dr. Mercer Bergstrom,1,56,52,3,4,3,343
Dr. Mercer Toy MD,1,84,64,4,4,3,443
Dr. Merrilee Cartwright MD,1,51,65,3,4,3,343
Dr. Merrill Rice DVM,2,12,128,1,2,1,121
Dr. Merton Homenick I,1,0,42,1,4,4,144
Dr. Mettie Crona,1,78,33,4,4,4,444
Dr. Mettie Green DVM,3,2,154,1,1,1,111
Dr. Meyer Bogisich,1,80,74,4,4,2,442
Dr. Meyer Champlin III,1,60,52,4,4,3,443
Dr. Meyer Purdy,1,80,27,4,4,4,444
Dr. Micayla Kutch,2,42,116,3,2,1,321
Dr. Michaela Johnson,3,12,135,1,1,1,111
Dr. Michaela McCullough DVM,7,4,344,1,1,1,111
Dr. Michelina Abshire DDS,4,29,171,2,1,1,211
Dr. Mikal Bashirian Jr.,1,89,62,4,4,3,443
Dr. Mike Legros,1,7,37,1,4,4,144
Dr. Milan Kerluke I,4,50,220,3,1,1,311
Dr. Miles O'Kon,1,72,78,4,4,2,442
Dr. Milford Beer Jr.,3,36,92,2,1,2,212
Dr. Miller Price,6,5,312,1,1,1,111
Dr. Millie Stokes DDS,1,28,27,2,4,4,244
Dr. Milton Upton IV,1,18,21,2,4,4,244
Dr. Mima Turner,1,47,60,3,4,3,343
Dr. Minerva Donnelly DDS,4,12,263,1,1,1,111
Dr. Minnie Jast DVM,2,42,134,3,2,1,321
Dr. Mira Donnelly,1,42,39,3,4,4,344
Dr. Mitchel Langosh PhD,2,22,143,2,2,1,221
Dr. Miya Rogahn DDS,4,1,165,1,1,1,111
Dr. Moises Yundt,1,53,64,3,4,3,343
Dr. Monnie Lowe,1,61,51,4,4,3,443
Dr. Montel Boyer,1,85,50,4,4,3,443
Dr. Mordechai Harvey DVM,3,11,129,1,1,1,111
Dr. Murry Hintz,2,11,65,1,2,3,123
Dr. Murry Reinger,2,14,105,2,2,2,222
Dr. Murry Robel,1,78,73,4,4,2,442
Dr. Myles Stroman,4,6,224,1,1,1,111
Dr. Mylie Purdy DDS,1,85,60,4,4,3,443
Dr. Myrl Rutherford IV,3,64,117,4,1,1,411
Dr. Naoma Weimann,1,88,43,4,4,4,444
Dr. Narcissus Wisozk,1,88,32,4,4,4,444
Dr. Nash Fadel,1,39,59,3,4,3,343
Dr. Nat Hickle PhD,2,30,112,2,2,1,221
Dr. Nat Schneider DVM,1,15,40,2,4,4,244
Dr. Natasha Kutch DDS,1,23,58,2,4,3,243
Dr. Natasha Langworth,2,16,120,2,2,1,221
Dr. Nathanael Hudson,1,51,43,3,4,4,344
Dr. Natosha Bergstrom,2,13,121,2,2,1,221
Dr. Ned Swaniawski,1,89,29,4,4,4,444
Dr. Neely Block MD,1,87,56,4,4,3,443
Dr. Nehemiah Kassulke,4,38,173,2,1,1,211
Dr. Nels Heathcote DDS,1,76,59,4,4,3,443
Dr. Nery Mertz,8,38,450,2,1,1,211
Dr. Newt Bogisich,2,12,98,1,2,2,122
Dr. Newt Eichmann Sr.,1,39,62,3,4,3,343
Dr. Nico Cruickshank DDS,2,39,59,3,2,3,323
Dr. Nicola Stanton,2,8,140,1,2,1,121
Dr. Nicole Hauck DVM,1,81,73,4,4,2,442
Dr. Nigel Koelpin Sr.,1,5,52,1,4,3,143
Dr. Nile Rosenbaum III,2,23,112,2,2,1,221
Dr. Niles Altenwerth II,3,47,87,3,1,2,312
Dr. Nim Goodwin DVM,8,6,506,1,1,1,111
Dr. Nohely King DVM,3,6,115,1,1,1,111
Dr. Normand Spencer,1,49,21,3,4,4,344
Dr. Norris Stehr DDS,2,6,85,1,2,2,122
Dr. Nunzio Tromp,2,23,85,2,2,2,222
Dr. Obe Mayert,1,74,55,4,4,3,443
Dr. Oda Kuhlman MD,1,11,27,1,4,4,144
Dr. Oleta Lehner MD,1,78,80,4,4,2,442
